,sentence,tags
36,"If the symptoms are troubled breathing or persistent pain or pressure in the chest, the probability that they need emergency medical care is high.",O O B-BAS O O O O O O O O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O 
37,"If the type of a business' products is intangible, such as consultants or online software providers, the working capital should be lower.",O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O O O O O O O O B-DER I-DER O O O O 
38,"If the score is 10, the service request is a product change, otherwise the service request is a bug.",O O B-BAS O O O O B-DER I-DER O O O O O O O B-DER I-DER O O O O 
39,"While the zone is red, movements in and out of muncipalities are prohibited, except for emergency or essential reasons.",O O B-BAS O O O B-DER I-DER I-DER I-DER I-DER I-DER O O O O O B-BAS I-BAS I-BAS I-BAS O 
40,You get an extra premium if you are an high performing employee and your have more than 20 hours overtime. ,O O O O B-DER O O O O O O B-BAS O O O O O O B-BAS I-BAS O 
41,"In addition, if a business is seasonal, the working capital should be extremely high during certain parts of the year.",O O O O O B-BAS O O O O B-DER I-DER O O O O O O O O O O O 
42,The discount is 30% if the customer is 10 years old.,O B-DER O O O O O B-BAS O O O O O 
43,"When your goal is to grow muscle your caloric intake should be in a surplus and when your goal is to lose weight, your caloric intake should be lower.",O O B-BAS O O O O O B-DER I-DER O O O O O O O O B-BAS O O O O O O B-DER I-DER O O O O 
44,"If your residential form is cohousing, your status is regarded as cohabitating and your integration income will be € 626.74 per month.",O O B-BAS I-BAS O O O O B-DER O O O O O O B-DER I-DER O O O O O O O 
45,"If your goal is to gain muscle, your caloric intake should be in a surplus, otherwise your caloric intake should be in a balance or slight deficit.",O O B-BAS O O O O O O B-DER I-DER O O O O O O O O B-DER I-DER O O O O O O O O O 
46,"A loan application is approved in two situations: (i) if the applicant’s loan risk assessment is approved, and (ii) if the appraisal of the property is granted.",O B-DER I-DER O O O O O O O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O O O O O B-BAS I-BAS I-BAS I-BAS O O O 
47,"Finally, if the customer is in the maintenance phase, and the service request is a change request, then the cost is 100.",O O O O B-BAS O O O O B-BAS O O O B-BAS I-BAS O O O O O O O B-DER O O O 
48,You get a 10% discount when you are a premium customer. ,O O O O O B-DER O O O O O B-BAS O 
49,The customer discount is 4% and otherwise 9% when the order exceeds 10 units.,O B-DER I-DER O O O O O O O O O B-BAS O O O O 
50,If the demand for a company's shares is high the price will tend to drive up.,O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O B-DER O O O O O O 
51,"If the KPI Data is bigger than 1, and the Project Data is not negative, then the performace score is A.",O O B-BAS I-BAS O O O O O O O B-BAS I-BAS O O O O O O B-DER I-DER O O O 
52,Prepayment is not required for loyal customers when the OrderAmount is small. ,B-DER O O O O O B-BAS O O B-BAS O O O 
53,Your maximum age-related heart rate is equal to your age substracted from 220.,O B-DER I-DER I-DER I-DER O O O O B-BAS O O O O 
54,"At last, if a person's age is between 28 and 50, and was not involved in a car accident, insurance cost is 400 euros.",O O O O O B-BAS I-BAS I-BAS O O O O O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O B-DER I-DER O O O O 
55,"If your ranking was once higher or your amount of titles is higher than 5, the likelihood of receiving a wildcard is high.",O O B-BAS O O O O O B-BAS I-BAS I-BAS O O O O O O B-DER I-DER I-DER I-DER I-DER O O O 
56,"While a tennis player's ranking is between 105-232th in the world, tennis player's eligibility for participation in the qualifiers for a grand slam holds.",O O B-BAS I-BAS I-BAS I-BAS O O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O 
57,"If the person is between 19 and 30 years old, then the insurance cost is 100 euro per year.",O O B-BAS O O O O O B-BAS I-BAS O O O B-DER I-DER O O O O O O 
58,If the weather is cold we will have a warm dinner. ,O O B-BAS O O O O O O O B-DER O 
59,Employee benefit is not required for independent consultants when they work on 1 project.,B-DER I-DER O O O O O B-BAS O O B-BAS O O B-BAS O 
60,"Finally, if the customer phase is maintenance, and the service request is a change request, then the price charged is 100 euros.",O O O O B-BAS I-BAS O O O O O B-BAS I-BAS O O O O O O O B-DER I-DER O O O O 
61,"For physical activity of moderte intensity, your target heart rate should be between 64% and 76% of your maximum heart rate, except if your age is 50 or above.",O B-BAS I-BAS O O O O O B-DER I-DER I-DER O O O O O O O O O O O O O O O O O B-BAS O O O O O 
62,The fixed cost is equal to the total cost of production minus the variable cost of production times the number of units.,O B-DER I-DER O O O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS O 
63,"Whenever you experience sickness or pain in the chest, a permission to get tested is granted.",O O O B-BAS O B-BAS I-BAS I-BAS I-BAS O O B-DER I-DER I-DER I-DER O O O 
64,"For physical activity of vigorous intensity, your target age-related heart rate should be between 77% and 93% of your maximum heart rate, except if your type of disease is a heart disease.",O B-BAS I-BAS O O O O O B-DER I-DER I-DER I-DER O O O O O O O O O O O O O O O O O B-BAS I-BAS I-BAS O O O O O 
65,"If your goal is to lose weight, your caloric intake should be lower, else your caloric intake should be in a surplus.",O O B-BAS O O O O O O B-DER I-DER O O O O O O B-DER I-DER O O O O O O 
66,"But when the change in your nipple is unexpected, the sign of a medical issue may be present.",O O O B-BAS I-BAS I-BAS I-BAS O O O O B-DER I-DER I-DER I-DER I-DER O O O O 
67,"At last, if a person is between 28 and 50 years old, and was not involved in a car accident, insurance cost is 400 euros.",O O O O O B-BAS O O O O O B-BAS I-BAS O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O B-DER I-DER O O O O 
68,"If your employment status is unemployed, the amount of benefit on 1 March 2020 is equal to a basic benefit.",O O B-BAS I-BAS O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O O B-BAS I-BAS O 
69,"If your goal is to gain muscle, your caloric intake should be in a surplus, else your caloric intake should be in balance.",O O B-BAS O O O O O O B-DER I-DER O O O O O O O O B-DER I-DER O O O O O 
70,"If the order is above 5 units, then the discount is 5%.",O O B-BAS O O O O O O O B-DER O O O O 
71,"However, when the customer is a monthly subscriber, then the number of champaign bottles is 1.",O O O O B-BAS O O O O O O O B-DER I-DER I-DER I-DER O O O 
72,The eligibility for a private room is taken into account if a patient's condition is very bad.,O B-DER I-DER I-DER I-DER I-DER O O O O O O B-BAS I-BAS I-BAS O O O O 
73,"Unless your country is in the list, your eligibility to work in the UK is valid, else the application for a Visa is required.",O O B-BAS O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER O O O O O B-DER I-DER I-DER I-DER O O O 
74,"If your sleep level is below average for a longer period of time, your mood will be affected and the risk of axiety or depression increases.",O O B-BAS I-BAS O O O O O O O O O O O B-DER O O O O O B-DER I-DER I-DER I-DER I-DER O O 
75,"If the policy is not a strict dividend policy with consistent payouts, the preferred method of a copany's management team might be the residual method.",O O B-BAS O O O O O O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O O O O 
76,"If the presence of cancer in the sentinel lymph nodes is confirmed, the chance of removal of additional lymph nodes in your armpit is high.",O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O 
77,"If the weight of the patient given in kgs and length of patient given in meters, then the BMI value is weight / (length * length).",O O B-BAS I-BAS I-BAS I-BAS O O O O B-BAS I-BAS I-BAS O O O O O O B-DER I-DER O B-BAS O O B-BAS O B-BAS O O 
78,"In case your company follows a residual dividend policy, the financement of projects should come from internally generated equity,  unless if you are a non profit company. ",O O O O O O O B-BAS I-BAS O O B-DER I-DER I-DER O O O O O O O O O O O O O O B-BAS O 
79,"If the amount is between 20 and 30 units, the discount is 27%.",O O B-BAS O O O O O O O O B-DER O O O O 
80,"The computer repair costs should 0 if the customer has a special status, else the costs should 10€.",O B-DER I-DER I-DER O O O O B-BAS O O O O O O O B-DER O O O 
81,"Firstly, if the person age is in between 16 and 18, and the person was not involved in a car accident in the past, insurance cost is 600 Euros.",O O O O B-BAS I-BAS O O O O O O O O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O B-DER I-DER O O O O 
82,Your traveled distance is your average velocity * the expired time. ,O B-DER I-DER O O B-BAS I-BAS O O B-BAS I-BAS O 
83,A promotion should be given if it is a week day.,O B-DER O O O O O O O B-BAS I-BAS O 
84,"If age is higher than 20 years and your status is single, the likelihood that you have a tinder account increases with 60%.",O B-BAS O O O O O O O B-BAS O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O O O 
85,"The price charged is 0 in the previous case, if the service request is a bug.",O B-DER I-DER O O O O O O O O O B-BAS I-BAS O O O O 
86,"Whenever the customer phase is testing, and the customer's service request is a change request, the cost is 600 euros.",O O B-BAS I-BAS O O O O O B-BAS I-BAS I-BAS I-BAS O O O O O O B-DER O O O O 
87,"However, the premium is only awarded if: the employee's absence is less than 2 weeks during the year, or the employee's absence is less than 4 weeks during the year and his/her appreciation score was excellent.",O O O B-DER O O O O O O B-BAS I-BAS I-BAS O O O O O O O O O O O B-BAS I-BAS I-BAS O O O O O O O O O O B-BAS I-BAS O O O 
88,"If the day is Tuesday and the weather is rainy, sandwiches contain herbs, unless it is a holiday.",O O B-BAS O O O O B-BAS O O O B-DER O O O O O O O B-BAS O 
89,"If concerns about ADHD are arising, your first step to diagnosis is to take your child to a specialist or to contact your local early intervention agency.",O B-BAS I-BAS I-BAS O O O O B-DER I-DER I-DER I-DER O O O O O O O O O O O O O O O O O 
90,There is a young driver premium (if age < 25) and a senior premium (if age > 65). ,O O O O O B-DER O O B-BAS O O O O O O B-DER O O B-BAS O O O O 
91,The discount is 10% whenever the order amount exceeds 10.,O B-DER O O O O O B-BAS I-BAS O O O 
92,If your prior education includes training or employment with an european body your chance of acceptance is low.,O O B-BAS I-BAS O O O O O O O O O B-DER I-DER I-DER O O O 
93,The risk rating is medium if the financial situation is moderate.,O B-DER I-DER O O O O B-BAS I-BAS O O O 
94,"Moving on to the second group, if you are older than 65 of age, or if you are between 45 and 65 of age with an increased medical risk due to healthcare issues, you will get vaccinated next.",O O O O O O O O O O O O O O B-BAS O O O O O O O O O O B-BAS O O O B-BAS I-BAS O O O O O O O O B-DER I-DER O 
95,Your fat mass is equal to your total body mass minus your musle mass.,O B-DER I-DER O O O O B-BAS I-BAS I-BAS O O B-BAS I-BAS O 
96,"When distance is given in meter and time in seconds, velocity in m/s is traveled distance over expired time. ",O B-DER O O O O O B-BAS O O O B-DER O O O B-BAS I-BAS O B-BAS I-BAS O 
97,"When the person is between 19 and 30 years old and he has a good track record, the insurance cost is 100 euro per year.",O O B-BAS O O O O O B-BAS I-BAS O O O O O B-BAS I-BAS O O B-DER I-DER O O O O O O 
98,"If your talent is noticible or your country is hosting the game, your chance of getting a wildcard is higher.",O O B-BAS O O O O B-BAS O O O O O O B-DER I-DER I-DER I-DER I-DER O O O 
99,"If your country is in the list, your eligibility to work in the UK is taken into consideration, otherwise you need to apply for a work Visa.",O O B-BAS O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER O O O O O O O O O O O O O O O 
100,"If you experience a severe or persists breast pain, your diagnosis might be covid-19.",O O O O O O O B-BAS I-BAS O O B-DER O O O O 
101,"Whenever it is sunny weather and weekend, we will organize a barbecue. ",O O O O B-BAS O B-BAS O O O B-DER I-DER I-DER O 
102,"If the physical inventory of a business is large, for example, the amount of working capital should be high to run smoothly.",O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O B-DER I-DER I-DER I-DER O O O O O O O 
103,The number of mails to be send should be two if the type of service the customer has paid for is a premium service.,O B-DER I-DER I-DER I-DER I-DER I-DER O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O 
104,"Unless your physical activity level is of high intensity, your target heart rate should be between 64% and 76% of your maximum heart rate, else your target heart rate should be between 77% and 93% of your maximum heart rate.",O O B-BAS I-BAS O O O O O O O B-DER I-DER I-DER O O O O O O O O O O O O O O O O B-DER I-DER I-DER O O O O O O O O O O O O O O 
105,"If the season is christmas, the food to be served should be turkey and if the season is valentine, the food to be served is chocolate.",O O B-BAS O O O O B-DER I-DER I-DER I-DER O O O O O O B-BAS O O O O B-DER I-DER I-DER I-DER O O O 
106,"If the physical activity is of low intensity, your target heart rate should be between 64% and 76% of your maximum heart rate, otherwise your target heart rate should be between 77% and 93% of your maximum heart rate.",O O B-BAS I-BAS O O O O O O B-DER I-DER I-DER O O O O O O O O O O O O O O O O B-DER I-DER I-DER O O O O O O O O O O B-BAS I-BAS I-BAS O 
107,The availability of a vehicle is true if the requested car group is available (AsRequested) or if an update group is available (Upgrade). ,O B-DER I-DER I-DER I-DER O O O O B-BAS I-BAS I-BAS O O O O O O O O B-BAS I-BAS O O O O O O 
108,"Unless your goal is to lose fat, your caloric intake should be in a balance, else we typically recommend a caloric intake of 2100 kcal. ",O O B-BAS O O O O O O B-DER I-DER O O O O O O O O O O O B-DER I-DER O O O O 
109,The risk level is lower when the stake in the property is higher.,O B-DER I-DER O O O O B-BAS I-BAS I-BAS I-BAS O O O 
110,"If your diet contains a lot of protein, your daily calories burned will be higher than if you were to eat the same diet with a lower amount of protein.",O O B-BAS O O O O O O O B-DER I-DER I-DER O O O O O O O O O O O O O O O O O O O 
111,The fine is 10 euro whenever the return date of the book is not respected.,O B-BAS O O O O O B-DER I-DER I-DER I-DER I-DER O O O O 
112,"In case your child’s average blood sugar level for the past three months has an A1C level of 6,5% or higher the chance of having diabetes is high.",O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O O O O O O B-DER I-DER I-DER I-DER O O O 
113,The permission to sell drinks is not granted when the time is between 2 and 7 AM.,O B-DER I-DER I-DER I-DER O O O O O B-BAS O O O O O O O 
114,"If your means of support are insufficient and your ability to obtain adequate income is low, an integration income is granted.",O O B-BAS I-BAS I-BAS O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O O O O B-DER I-DER O O O 
115,"If your sleep deprivation increases, your risk for chronic conditions increases, such as diabetes mellitus and heart disease.",O O B-BAS I-BAS O O O B-DER I-DER I-DER I-DER O O O O O O O O O O 
116,"If your symptom is sickness your travel eligibility is not approved, unless you have a negative Covid-test. ",O O B-BAS O O O B-DER I-DER O O O O O O O O O B-BAS O 
117,"If chronic sleep deprivation is something that you are suffering from, your mood can be affected and the risk of anxiety increases.",O B-BAS I-BAS I-BAS O O O O O O O O O B-DER O O O O O B-DER I-DER I-DER O O 
118,"If weather is nice, the activity to be planned should be a picknick and if weather is rainy, the activity to be planned is a film night.",O B-BAS O O O O B-DER I-DER I-DER I-DER O O O O O O B-BAS O O O O B-DER I-DER I-DER I-DER O O O O O 
119,GPA is calculated by dividing the total points earned in a program by the total number of credits attempted.,B-DER O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS O 
120,"If your goal is to lose weight,your caloric intake should be around 1500 kcal, otherwise your caloric intake should be in between 1700 kcal and 1900 kcal.",O O B-BAS O O O O O O B-DER I-DER O O O O O O O O B-DER I-DER O O O O O O O O O O 
121,"Generally, Medicare is available if your age is 65 or older.",O O B-DER O O O O B-BAS O O O O O 
122,"For example, for a 35-year-old person, the estimated maximum age-related heart rate would be calculated as 220 – 35 years = 185 beats per minute (bpm).",O O O O O O O O O B-DER I-DER I-DER I-DER I-DER O O O O O O O B-BAS O O O O O O O O O 
123,Employee benefit is calculated by dividing the working days in a year by the salary. ,B-DER I-DER O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS O 
124,"If your diet is a higher carb and lower fat diet, the multiplier should be 0.3g/lb.",O O B-BAS O O O O O O O O O O B-DER O O O O 
125,"Further, if the service request is a change request, and the phase is development, then the cost is 150 euros.",O O O O B-BAS I-BAS O O O O O O O B-BAS O O O O O B-DER O O O O 
126,A 8% discount applies if the customer is a private entity.,O O O B-DER O O O B-BAS O O O O O 
127,If the KPI Data is >1 and the Project Data is positive then the score is 1.,O O B-BAS I-BAS O O O O O B-BAS I-BAS O O O O B-DER O O O 
128,A high risk rating is defined as a credit risk above 3. ,O O B-DER I-DER O O O O B-BAS I-BAS O O O 
129,"If your sleep level is low, your short- and long-term memory will underperform, except if your sleep level is below average for no more than 1 week.",O O B-BAS I-BAS O O O O B-DER I-DER I-DER I-DER O O O O O O B-BAS I-BAS O O O O O O O O O O 
130,"If the service request is a bug, and the phase is testing however, the customer price should be 0 euros.",O O B-BAS I-BAS O O O O O O B-BAS O O O O O B-DER I-DER O O O O O 
131,"For example, for jobs that include waitressing or manal effort, the NEAT is significantly greater than jobs uncluding office work for 8 hours a day.",O O O O B-BAS O O O O O O O O B-DER O O O O O O O O O O O O O O 
132,If your interest is in design your selection of masters should be in architecture and if your interest is in economics your selection of masters should be in business engineering.,O O B-BAS O O O O B-DER I-DER I-DER O O O O O O O B-BAS O O O O B-DER I-DER I-DER O O O O O O 
133,"If an anti-virus is present, your have a low chance of getting hacked. ",O O B-BAS O O O O O O O B-DER I-DER I-DER I-DER I-DER 
134,The cleaning of the boat needs to be done if the season is summer.,O B-DER I-DER I-DER I-DER O O O O O O B-BAS O O O 
135,The discount is higher if the customer has a membership card.,O B-DER O O O O B-BAS O O O O O 
136,"For physical activity of vigorous intensity, your target heart rate should be between 77% and 93% of your maximum heart rate, except for people aged 15 or younger.",O B-BAS I-BAS O O O O O B-DER I-DER I-DER O O O O O O O O O O O O O O O O B-BAS I-BAS O O O O 
137,"When the financial situation is good, the income of customer is positive and the loan is less than 1000 euro, the applicant risk rating is low.",O O B-BAS I-BAS O O O O B-BAS I-BAS I-BAS O O O O B-BAS O O O O O O O B-DER I-DER I-DER O O O 
138,Care is provided for babies (for ages equal to 1 to 2 years) and toddlers (for ages equal to 2 to 4 years).,B-DER O O O O O O B-BAS O O O O O O O O O O O B-BAS O O O O O O O O 
139,"In case that you request an interantional order, an extra cost will be charged. ",O O O O O O O B-BAS O O O B-DER O O O O 
140,"Just like a consumer product or a commodity, if the demand is greater, the price people are willing to pay is higher.",O O O O O O O O O O O B-BAS O O O O B-DER I-DER I-DER I-DER I-DER I-DER O O O 
141,In the case your interest is in design the selection of master programs should be in architecture and whenever your interest is in economics your selection of masters should be in business engineering.,O O O O B-BAS O O O O B-DER I-DER I-DER I-DER O O O O O O O B-BAS O O O O B-DER I-DER I-DER O O O O O O 
142,"The customer receives a discount of 15% if it 's customer birthday, otherwise the discount is 0%.",O O O O B-DER O O O O O O B-BAS I-BAS O O O B-DER O O O O 
143,"If you notice a change in your nipple, there is a high chance you have breast cancer.",O O O O B-BAS I-BAS I-BAS I-BAS O O O O O B-DER I-DER I-DER I-DER I-DER O 
144,"If your amount of sleep is below 6 hours, both your short- and long-term memory will be affected.",O O B-BAS I-BAS I-BAS O O O O O O O B-DER I-DER I-DER I-DER O O O O 
145,Access to a phone is granted if the employee's day is an oboarding day.,B-DER I-DER I-DER I-DER O O O O B-BAS I-BAS I-BAS O O O O O 
146,The bar may not sell drinks when the time is between 2 and 7 AM.,O O O O B-DER I-DER O O B-BAS O O O O O O O 
147,"Unless a customer is in the maintenance phase, no price should be charged. ",O O B-BAS O O O O B-BAS O O B-DER O O O O 
148,"If the amount of hours exercised is 2h per day, but your sleep pattern is disrupted, your efforts may be undermined.",O O B-BAS I-BAS I-BAS I-BAS O O O O O O O B-BAS I-BAS O O O O B-DER O O O O 
149,"For example, when we are close Christmas, we will recommend a Christmas movie. ",O O O O O O B-BAS I-BAS O O O O O O B-DER O 
150,"Carbs are determined by subtracting your protein and fat calories from the daily calorie total, then dividing by 4.",B-DER O O O O O B-BAS O B-BAS I-BAS O O B-BAS I-BAS I-BAS O O O O O O 
151,"If the financial situation is moderate, the risk level is medium and otherwise low. ",O O B-BAS I-BAS O O O O B-DER I-DER O O O O O O 
152,"If your age is lower than 25 years, your discount will be increased with 10%. ",O O B-BAS O O O O O O O B-DER O O O O O O O 
153,The producer surplus is the total amount of revenue minus the total cost.,O B-DER I-DER O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS O 
154,"The discount is 10% whenever the order exceeds 10 units, time of the week is weekend and the customer number is 5.",O B-DER O O O O O B-BAS O O O O B-BAS I-BAS I-BAS I-BAS O O O O B-BAS I-BAS O O O 
155,If your growth stage is adult your amount of sleep should be 7 to 9 hours and if your growth stage is teenager your amount of sleep should be 8 to 10 hours. ,O O B-BAS I-BAS O O O B-DER I-DER I-DER O O O O O O O O O B-BAS I-BAS O O O B-DER I-DER I-DER O O O O O O O 
156,"The customer price is 0 euros, if the service request is a bug, and the phase is testing.",O B-DER I-DER O O O O O O B-BAS I-BAS O O O O O O B-BAS O O O 
157,"If the number is higher, the experience is better.",O O B-BAS O O O O B-DER O O O 
158,The fixed cost is the total cost of production minus the variable cost of production multiplied by the number of units.,O B-DER I-DER O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS O 
159,"If the order amount is above 5 units, the first number of the customer is 0 and the day is Tuesday, then the discount is 5%.",O O B-BAS I-BAS O O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O O O O B-BAS O O O O O B-DER O O O O 
