,sentence,tags
15,"When your goal is to grow muscle your caloric intake should be in a surplus and when your goal is to lose weight, your caloric intake should be lower.",O O B-BAS O O O O O B-DER I-DER O O O O O O O O B-BAS O O O O O O B-DER I-DER O O O O 
16,"Your university grade, previous work experience and case solving skills are considered by consultancy firms to assess if you get the job.",O B-BAS I-BAS O B-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS O O O O O O O O O B-DER I-DER I-DER O 
17,"If your goal is to gain muscle, your caloric intake should be in a surplus, otherwise your caloric intake should be in a balance or slight deficit.",O O B-BAS O O O O O O B-DER I-DER O O O O O O O O B-DER I-DER O O O O O O O O O 
18,"For physical activity of vigorous intensity, your target heart rate should be between 77% and 93% of your maximum heart rate.",O B-BAS I-BAS O O O O O B-DER I-DER I-DER O O O O O O O O O O O O O O 
19,"If you are 5 years old, your height is small.",O O O O B-BAS I-BAS O O B-DER O O O 
20,"If age is higher than 20 years and your status is single, the likelihood that you have a tinder account increases with 60%.",O B-BAS O O O O O O O B-BAS O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O O O 
21,It is based on the physical sensation. ,O O O O O B-BAS I-BAS O 
22,"Furthermore, to be accepted, the number of community languages (English, French or German) must be at least 1.",O O O B-DER I-DER O O B-BAS I-BAS I-BAS I-BAS O O O O O O O O O O O O O 
23,"But when the change in your nipple is unexpected, the sign of a medical issue may be present.",O O O B-BAS I-BAS I-BAS I-BAS O O O O B-DER I-DER I-DER I-DER I-DER O O O O 
24,Your age determines your ability to drive a car and on the other side your insurance will define your coverage in case of an accident.,O B-BAS O O B-DER I-DER I-DER I-DER I-DER O O O O O O B-BAS O O O B-DER O O O O O O 
25,If the customer has a premium card her entrance to the lounge should always be admitted.,O O B-BAS O O O O O B-DER I-DER I-DER I-DER O O O O O 
26,"If the temperature is above 27 degrees, the food given to the employees is an icecream.",O O B-BAS O O O O O O B-DER I-DER I-DER I-DER I-DER O O O O 
27,"The medical history is based on what symptoms the patient experiences, for how long and if any conditions run in the family.",O B-DER I-DER O O O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS I-BAS O 
28,In the case your interest is in design the selection of master programs should be in architecture and whenever your interest is in economics your selection of masters should be in business engineering.,O O O O B-BAS O O O O B-DER I-DER I-DER I-DER O O O O O O O B-BAS O O O O B-DER I-DER I-DER O O O O O O 
29,"In addition, if a business is seasonal, the working capital should be extremely high during certain parts of the year.",O O O O O B-BAS O O O O B-DER I-DER O O O O O O O O O O O 
30,"For buyers within the United States, shipping charges and options vary according to the product being purchased, and are listed in the chart below unless otherwise noted in the seller's policies.",O O O O O O O B-DER I-DER I-DER I-DER O O O O B-BAS I-BAS I-BAS O O O O O O O O O O O O O O O O O 
31,Furthermore a driver premium is determined based on age.,O O B-DER I-DER O O O O B-BAS O 
32,"If the symptoms are troubled breathing or persistent pain or pressure in the chest, the probability that they need emergency medical care is high.",O O B-BAS O O O O O O O O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O 
33,"If the presence of cancer in the sentinel lymph nodes is confirmed, the chance of removal of additional lymph nodes in your armpit is high.",O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O 
34,The health condition itself is ascertained by physical and psychological tests.,O B-DER I-DER O O O O B-BAS O B-BAS I-BAS O 
35,"If your goal is to lose weight,your caloric intake should be around 1500 kcal, otherwise your caloric intake should be in between 1700 kcal and 1900 kcal.",O O B-BAS O O O O O O B-DER I-DER O O O O O O O O B-DER I-DER O O O O O O O O O O 
36,"If the outcome of your test is negative, but symptoms of covid-19 are present the likelihood of infection is high.",O O B-BAS I-BAS I-BAS I-BAS O O O O B-BAS I-BAS I-BAS O O O B-DER I-DER I-DER O O O 
37,"Exact shipping charges are calculated at the time of checkout based on the number of items, item type, weight, and volume of all the items in the cart.",B-DER I-DER I-DER O O O O O O O O O O B-BAS I-BAS I-BAS O B-BAS I-BAS O B-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
38,Your sleep should last 8 to 10 hours (if your growth phase is teenager) or 7 to 9 hours (if your growth phase is adult).,O B-DER O O O O O O O O O B-BAS I-BAS O O O O O O O O O O O B-DER I-DER O O O O 
39,"For any period of time, the level of labor productivity is determined by two broad factors: capital equipment and applied technical efficiency.",O O O O O O O B-DER I-DER I-DER I-DER O O O O O O O B-BAS I-BAS O B-BAS I-BAS I-BAS O 
40,"In a car rental company, a rental is offered or refused depending on age eligibility, drop-off validity and availability of the requested vehicle. ",O O O O O O O B-DER I-DER I-DER I-DER I-DER O O B-BAS I-BAS O B-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS O 
41,Absolute valuation models determine the present value of future incoming cash flows to obtain the intrinsic value of an asset.,B-BAS I-BAS I-BAS O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O 
42,"If the size of the business is small and the growth phase of the business is early, the level of working capital is higher relative to that required by a small business intending to stay small.",O O B-BAS I-BAS I-BAS I-BAS O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O O O O B-DER I-DER I-DER I-DER O O O O O O O O O O O O O O O 
43,"If the person's age is between 10 and 20 years old, a permission to the park is granted, otherwise not.",O O B-DER I-DER I-DER O O O O O O O O O B-DER I-DER I-DER I-DER O O O O O O 
44,One way of checking physical activity intensity is to determine whether your pulse or heart rate is within the target zone during physical activity.,O O O O B-DER I-DER I-DER O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
45,"Finally, if the customer is in the maintenance phase, and the service request is a change request, then the cost is 100.",O O O O B-BAS O O O O B-BAS O O O B-BAS I-BAS O O O O O O O B-DER O O O 
46,Your final grade will determine if you pass the exam or not. ,O B-BAS I-BAS O O O O B-DER I-DER I-DER O O O 
47,"Further, the price charged is 150 euros, if the service request is a change request, and the customer phase equals development phase.",O O O B-DER I-DER O O O O O O B-BAS I-BAS O O O O O O O B-BAS I-BAS O O O O 
48,"To determine if someone suffers from Autism, the follow criteria are considered: problems in the field of social communication and social interaction; Limited, repetitive behavioral patterns, interests, or activities; and Hypersensitivity or hypersensitivity to sensory stimuli.",O O O B-DER I-DER I-DER I-DER O O O O O O O O O O O O B-BAS I-BAS O B-BAS I-BAS O O O O B-BAS I-BAS O B-BAS O O B-BAS O O O O O O B-BAS I-BAS O 
49,"credit history, which includes the number of open accounts, total levels of debt, repayment history, and other factors.",B-DER I-DER O O O O B-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS O O B-BAS I-BAS O 
50,"While your modus is sleeping, the production of protective substances, such as antibodies, by your immune system is high.",O O B-BAS O B-BAS O O B-DER I-DER I-DER I-DER O O O O O O O O O O O O 
51,"The price charged is 600 euros if the customer phase is testing, and the customer's service request is a change request.",O B-DER I-DER O O O O O B-BAS I-BAS O O O O O B-BAS I-BAS I-BAS I-BAS O O O O O 
52,"The scoring determines the employee bonus, which determines the monthly enumeration.",O B-BAS O O B-DER I-DER O O O O B-DER I-DER O 
53,"If your amount of sleep is below 6 hours, your libido will probably be lower than people who sleep 8 hours per day.",O O B-BAS I-BAS I-BAS O O O O O O B-DER O O O O O O O O O O O O O 
54,"If the weight of the patient given in kgs and length of patient given in meters, then the BMI value is weight / (length * length).",O O B-BAS I-BAS I-BAS I-BAS O O O O B-BAS I-BAS I-BAS O O O O O O B-DER I-DER O B-BAS O O B-BAS O B-BAS O O 
55,The customer's discount depends on the customer status and this depends on order amount.,O B-DER I-DER I-DER O O O B-BAS I-BAS O O O O B-BAS I-BAS O 
56,"The medical history includes the symptoms the patient experiences, and for how long and if any conditions run in the family.",O B-DER I-DER O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS I-BAS O 
57,"In case the weather is bad, the ice cream car is closed.",O O O B-BAS O O O O B-DER I-DER I-DER O O O 
58,"When the person is between 19 and 30 years old and he has a good track record, the insurance cost is 100 euro per year.",O O B-BAS O O O O O B-BAS I-BAS O O O O O B-BAS I-BAS O O B-DER I-DER O O O O O O 
59,The fixed cost is equal to the total cost of production minus the variable cost of production times the number of units.,O B-DER I-DER O O O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS O 
60,"If your age is lower than 25 years, your discount will be increased with 10%. ",O O B-BAS O O O O O O O B-DER O O O O O O O 
61,"If your age is 40 and above, the time between screening mammograms should be one to two years.",O O B-BAS O O O O O O B-DER I-DER I-DER I-DER O O O O O O O 
62,"The size, environment, and origin of a plant define how much water the plant needs.",O B-BAS O B-BAS O O B-BAS I-BAS I-BAS I-BAS O B-DER I-DER I-DER I-DER I-DER I-DER O 
63,A lack of sleep can also compromise decision-making processes and creativity.,O O O B-BAS O O O B-DER I-DER O B-DER O 
64,"Several health conditions, your lifestyle, your age and family history can increase your risk for heart disease.",O O O O O B-BAS O O B-BAS O B-BAS I-BAS O O O B-DER I-DER I-DER I-DER O 
65,You are at risk if you are in contact with a similar virus and you are a labworker.,O O O B-DER O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O O O O B-BAS O 
66,Velocity is measured by distance / time.,B-DER O O O B-BAS O B-BAS O 
67,"When the financial situation is good, the applicant risk rating is low.",O O B-BAS I-BAS O O O O B-DER I-DER I-DER O O O 
68,"If your diet is a higher fat diet, the multiplier should be 0.5g/lb.",O O B-BAS O O O O O O O B-DER O O O O 
69,Prepayment is not required for loyal customers when the OrderAmount is small. ,B-DER O O O O O B-BAS O O B-BAS O O O 
70,"On the flip side, when the number of sellers is high, the price of the stock will be driven down.",O O O O O O O B-BAS I-BAS I-BAS O O O O B-DER I-DER I-DER I-DER O O O O O 
71,"Risk is determined from the contact with a similar virus, being a labworker or smallpox virus exposure.",B-DER O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O O O B-BAS O B-BAS I-BAS I-BAS O 
72,The routing of an application is defined by the eligibility and application risk.,O B-DER I-DER I-DER I-DER O O O O B-BAS O B-BAS I-BAS O 
73,"If it is winter or the rainy weather, the dinner will be served warm.",O O O B-BAS O O B-BAS I-BAS O O B-DER O O O O O 
74,The eligibility and application risk influence the routing of an application.,O B-BAS O B-BAS I-BAS O O B-DER I-DER I-DER I-DER O 
75,"In a car rental company, the decision to offer or refuse a rental depends on age eligibility, drop-off validity and availability of the requested vehicle.",O O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER O O B-BAS I-BAS O B-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS O 
76,"To calculate the eligibility, we combine the information from the application form with the client’s score.",O O O B-DER O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O 
77,"Here the decision of loan granting depends on the following factors: the borrower’s reputation, the borrower’s financial condition, future prospects, firm ability and management experience, capital, firms prospects.",O O B-DER I-DER I-DER I-DER O O O O O O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS O B-BAS I-BAS O 
78,"If your sleep level  is low, you have higher blood sugar levels and an increased risk for type 2 diabetes.",O O B-BAS I-BAS O O O O O O B-DER I-DER I-DER O O O B-DER I-DER I-DER I-DER I-DER O 
79,The actual heart rate can vary quite a bit depending on age and physical condition.  ,O B-DER I-DER I-DER O O O O O O O B-BAS O B-BAS I-BAS O 
80,"First, the health risk evaluation requires the client’s medical history, smoking habits, and lifestyle.",O O O B-DER I-DER I-DER O O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS O O B-BAS O 
81,"leptin and ghrelin, which control feelings of hunger and fullness.",B-BAS O B-BAS O O O B-DER I-DER I-DER I-DER I-DER O 
82,Tracking GDP over time helps a government make decisions such as whether to stimulate the economy by pumping more cash into it or to cool it by pulling money out.,O B-BAS O O O O O O O O O B-DER I-DER I-DER I-DER I-DER O O O O O O O O O O O O O O O 
83,"If your sleep level is low, your short- and long-term memory will underperform, except if your sleep level is below average for no more than 1 week.",O O B-BAS I-BAS O O O O B-DER I-DER I-DER I-DER O O O O O O B-BAS I-BAS O O O O O O O O O O 
84,If your breast cancer stage is 5 the risk of cancer that has spread to other areas of the body is high.,O O B-BAS I-BAS I-BAS O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O 
85,One of the most important symptoms to be monitored includes the change of your nipple.,O O O O O B-DER O O O O O B-BAS I-BAS I-BAS I-BAS O 
86,The admissions officer reads the motivation letters and assigns a score to it.,O O O O O B-BAS I-BAS O O O B-DER O O O 
87,The employee bonus is assessed from a scoring and this scoring is calculated from the employee's working hours and personal profit.,O B-DER I-DER O O O O B-BAS O O B-DER O O O O B-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS O 
88,"The employee bonus is assessed from a scoring, which is based on the working hours and profit.",O B-DER I-DER O O O O B-BAS O O O O O O B-BAS I-BAS O B-BAS O 
89,"Health evaluation also depends on the score of Mental health, which is determined from the EQ test result and the IQ test score. ",B-DER I-DER O O O O B-BAS I-BAS I-BAS I-BAS O O O O O O B-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS O 
90,"In case you are a high performing employee, you get a bonus assigned. ",O O O O O O O B-BAS O O O O B-DER O O 
91,"When the financial situation is good, the applicant risk rating is low, else it is high. ",O O B-BAS I-BAS O O O O B-DER I-DER I-DER O O O O O O O O 
92,The discount is 30% if the customer is 10 years old.,O B-DER O O O O O B-BAS O O O O O 
93,Rates can also be significantly different depending on what loan type you choose.,B-DER O O O O O O O O B-BAS I-BAS O O O 
94,The eligibility for a private room is taken into account if a patient's condition is very bad.,O B-DER I-DER I-DER I-DER I-DER O O O O O O B-BAS I-BAS I-BAS O O O O 
95,"Unless your age is below 7 years, wearing a facemask is mandatory, else it is not mandatory.",O O B-BAS O O O O O B-DER I-DER I-DER O O O O O O O O O 
96,A 8% discount applies if the customer is a private entity.,O O O B-DER O O O B-BAS O O O O O 
97,"If you are a promising young talent, you have a higher chance of getting a wildcard.",O O O O B-BAS I-BAS I-BAS O O O O O B-DER I-DER I-DER I-DER I-DER O 
98,"The weather determines the sport we play today, which determines the burned calories. ",O B-BAS O O B-DER I-DER I-DER I-DER O O O O B-DER I-DER O 
99,Fraud inspection is assessed from the deviation of the operation route and the truck compliance.,B-DER I-DER O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS O 
100,Accurate real estate valuations can help investors make better decisions when it comes to buying and selling properties.,B-BAS I-BAS I-BAS I-BAS O O O O O O O O O O B-DER I-DER I-DER I-DER O 
101,The cleaning of the boat needs to be done if the season is summer.,O B-DER I-DER I-DER I-DER O O O O O O B-BAS O O O 
102,"The sexual activity level of a person is assessed by the number of panda points, your gender and your relationship status.",O B-DER I-DER I-DER I-DER I-DER I-DER O O O O B-BAS I-BAS I-BAS I-BAS O O B-BAS O O B-BAS I-BAS O 
103,"In general, if consumer credit scores are higher the interest rates are lower.",O O O O B-BAS I-BAS I-BAS O O O B-DER I-DER O O O 
104,"In case your child’s average blood sugar level for the past three months has an A1C level of 6,5% or higher the chance of having diabetes is high.",O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O O O O O O B-DER I-DER I-DER I-DER O O O 
105,if you are adult you should sleep 7 to 9 hours and if you are teenager you should sleep 8 to 10 hours.,O O O B-BAS O O B-DER O O O O O O O O B-BAS O O B-DER O O O O O 
106,"If the policy is not a strict dividend policy with consistent payouts, the preferred method of a copany's management team might be the residual method.",O O B-BAS O O O O O O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O O O O 
107,score depending on the working hours and performance.,B-DER O O O B-BAS I-BAS O B-BAS O 
108,The borrower’s attributes are defined as the borrower's relationship with the bank and the firm size.,O B-DER I-DER I-DER I-DER O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS O 
109,"And lenders frequently review borrowers' scores, especially when deciding whether to change an interest rate or credit limit on a credit card. ",O O O O B-BAS I-BAS I-BAS O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O 
110,The fixed cost is the total cost of production minus the variable cost of production multiplied by the number of units.,O B-DER I-DER O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS O 
111,Care is provided for babies (for ages equal to 1 to 2 years) and toddlers (for ages equal to 2 to 4 years).,B-DER O O O O O O B-BAS O O O O O O O O O O O B-BAS O O O O O O O O 
112,"The next step to assess the value of the real estate property is to determine the gross income multiplier and multiply it by the gross annual income, which is based on historical sales data.",O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER O O O O B-BAS I-BAS I-BAS O O O O O B-BAS I-BAS I-BAS O O O O O B-BAS I-BAS I-BAS O 
113,"To pass the pre-selection stage, the first cycle of a higher education course (university education) must be completed and a full degree must by obtained by the closing date for applications.",O B-DER I-DER I-DER I-DER O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O O O O O B-BAS I-BAS O O O O O O O O O O 
114,"If the type of a business' products is intangible, such as consultants or online software providers, the working capital should be lower.",O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O O O O O O O O O O B-DER I-DER O O O O 
115," The person’s assigned group is divided into three groups depending on their vulnerability, exposure, medical risks and age.",O B-DER I-DER I-DER I-DER I-DER O O O O O O O O B-BAS O B-BAS O B-BAS I-BAS O B-BAS O 
116,"For example, when we are close Christmas, we will recommend a Christmas movie. ",O O O O O O B-BAS I-BAS O O O O O O B-DER O 
117,"For physical activity of vigorous intensity, your target age-related heart rate should be between 77% and 93% of your maximum heart rate, except if your type of disease is a heart disease.",O B-BAS I-BAS O O O O O B-DER I-DER I-DER I-DER O O O O O O O O O O O O O O O O O B-BAS I-BAS I-BAS O O O O O 
118,"If your muscle tension is increasing, the likelihood of an injury will increase as well.",O O B-BAS I-BAS O O O O B-DER I-DER I-DER I-DER O O O O O 
119,"The borrower’s attributes include the relationship with the bank, the firm size, value of collateral, related business experience, and the share of investment.",O B-DER I-DER I-DER I-DER O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS O B-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS O 
120,"The employee bonus is assessed from a scoring, which is given by the sales department.",O B-DER I-DER O O O O B-BAS O O O O O O O O O 
121,"If your temperature is 28 °C, you have a high chance of a fever.",O O B-BAS O O O O O O O O B-DER I-DER I-DER I-DER O 
122,The number of holidays you'll get awarded depends on your age and years of service.,O B-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O B-BAS O B-BAS I-BAS I-BAS O 
123,"So if your down payment is 20 percent or more, your chance of receiving a lower interest rate is high.",O O O B-BAS I-BAS O O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O 
124,Acceptable candidates receive a preference score depending on GPA and letter score. ,B-BAS I-BAS O O B-DER I-DER O O B-BAS O B-BAS I-BAS O 
125,"If your age is 65 or older, or if the disease you are suffering from is permanent kidney failure, your eligibility for Medicare is taken into account.",O O B-BAS O O O O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O O O O O O B-DER I-DER I-DER O O O O O 
126,"physical sensations a person experiences during physical activity, including increased heart rate, increased respiration or breathing rate, increased sweating, and muscle fatigue.",B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O B-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS O O B-BAS I-BAS O 
127,Your shipping fees when buying items from a seller on Amazon.com depend on the type of product you purchase.,O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O B-BAS I-BAS I-BAS O O O 
128,"If you experience a severe or persists breast pain, your diagnosis might be covid-19.",O O O O O O O B-BAS I-BAS O O B-DER O O O O 
129,"If the weather is sunny, the activity is an outdoor poolparty and if the weather is rainy, the activity is a wellness day with friends. ",O O B-BAS O O O O B-DER O O O O O O O B-DER O O O O B-DER O O O O O O O 
130,NEAT can play a rather large or small role in your overall TDEE depending on how physically active your job or daily happenings are. ,B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
131,"Your credit score, your home location, and your down payment are all factors that affect the mortgage interest rate.",O B-BAS I-BAS O O B-BAS I-BAS O O O B-BAS I-BAS O O O O O O B-DER I-DER I-DER O 
132,"To decide on which movie is recommended to a customer, we look at 2 main items, these are the customer profile and the time of the year.",O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER O O O O O O O O O O O B-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O 
133,"employee bonus, which determines the monthly enumeration.",B-BAS I-BAS O O O O B-DER I-DER O 
134,The risk of developing TB depends on the strength of your immune system and whether you’ve been recently infected with TB bacteria.,O B-DER I-DER I-DER I-DER O O O B-BAS I-BAS I-BAS I-BAS I-BAS O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
135,"Finally, if the customer phase is maintenance, and the service request is a change request, then the price charged is 100 euros.",O O O O B-BAS I-BAS O O O O O B-BAS I-BAS O O O O O O O B-DER I-DER O O O O 
136,"An IQ of a patient is assessed from testing his verbal, math and abstract levels.",O B-DER I-DER I-DER I-DER O O O O O B-BAS O B-BAS O B-BAS I-BAS O 
137,Your credit score equals your outstanding credit divided by (amounts owned * payment history percentage).,O B-DER I-DER O O B-BAS I-BAS O O O B-BAS I-BAS O B-BAS I-BAS I-BAS O O 
138,The application risk of a client is assessed by the predicted score of the application risk score model and the application risk category table.,O B-DER I-DER I-DER I-DER I-DER O O O O B-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O 
139,A client’s creditworthiness is based on the information that the client provided.,O B-DER I-DER I-DER I-DER O O O O B-BAS I-BAS I-BAS I-BAS I-BAS O 
140,A premium client is defines as a client with a revenue above 10k. ,O B-DER I-DER O O O O O O O B-BAS O O O 
141,"If your sleep deprivation increases, your risk for chronic conditions increases, such as diabetes mellitus and heart disease.",O O B-BAS I-BAS O O O B-DER I-DER I-DER I-DER O O O O O O O O O O 
142,"If the KPI Data is bigger than 1, and the Project Data is not negative, then the performace score is A.",O O B-BAS I-BAS O O O O O O O B-BAS I-BAS O O O O O O B-DER I-DER O O O 
143,"Life expectancy is defined as the average number of years a population of a certain age would be expected to live, given a set of age-specific death rates in a given year.",B-DER I-DER O O O O O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O O O B-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS I-BAS O 
144,The overall quality of life is concerned with both the quality of life and the health related quality of life.,O B-DER I-DER I-DER I-DER O O O O O B-BAS I-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS I-BAS O 
145,"If your goal is to gain muscle, your caloric intake should be in a surplus, else your caloric intake should be in balance.",O O B-BAS O O O O O O B-DER I-DER O O O O O O O O B-DER I-DER O O O O O 
146,"If your goal is to lose weight, your caloric intake should be lower, else your caloric intake should be in a surplus.",O O B-BAS O O O O O O B-DER I-DER O O O O O O B-DER I-DER O O O O O O 
147,The final grade consists of homework assignments and a written final exam.,O B-DER I-DER O O B-BAS I-BAS O O B-BAS I-BAS I-BAS O 
148,"The population is divided into three groups depending on their vulnerability, exposure, medical risks and age.",O B-DER I-DER I-DER I-DER I-DER I-DER O O O B-BAS O B-BAS O B-BAS I-BAS O B-BAS O 
149,"For example, if it's Valentine's day the likelihood of romantic movie recommendations increases.",O O O O O O B-BAS I-BAS I-BAS O B-DER I-DER I-DER I-DER I-DER O O 
150,An employee may have 5 extra days of vacation if he did not accept his bonus.,O O O O O O B-DER I-DER I-DER O O O O B-BAS I-BAS I-BAS O 
151,"If the day is a holiday, then the customer price should be 30 euro per person.",O O B-BAS O O O O O O B-DER I-DER O O O O O O O 
152,"The lender’s human capital, on the other hand, refers to the education, banking experience, lending experience and the exposure to SME loans.",O B-DER I-DER I-DER I-DER I-DER O O O O O O O O O B-BAS O B-BAS I-BAS O B-BAS I-BAS O O B-BAS I-BAS I-BAS I-BAS O 
153,"While a tennis player's ranking is between 105-232th in the world, tennis player's eligibility for participation in the qualifiers for a grand slam holds.",O O B-BAS I-BAS I-BAS I-BAS O O O O O O O B-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER I-DER O O 
